index	LMseed	ft	clsseed	dataset	F1_score	loss	accuracy
157	0	ft-seed1	8	 valid	 0.43609023094177246	 0.4850305914878845	 0.9111
43	0	ft-seed1	9	 test	 0.5316455960273743	 0.5851835012435913	 0.8890
163	0	ft-seed1	9	 valid	 0.4217686951160431	 0.5449877381324768	 0.8993
49	0	ft-seed1	10	 test	 0.4651162922382355	 0.7876351475715637	 0.8850
169	0	ft-seed1	10	 valid	 0.40875911712646484	 0.6061959862709045	 0.9040
55	0	ft-seed1	11	 test	 0.568965494632721	 0.5870274901390076	 0.9000
175	0	ft-seed1	11	 valid	 0.46043166518211365	 0.49774301052093506	 0.9111
61	0	ft-seed1	12	 test	 0.5461847186088562	 0.5820209383964539	 0.8870
181	0	ft-seed1	12	 valid	 0.4458598792552948	 0.5988472104072571	 0.8969
67	0	ft-seed1	13	 test	 0.44131454825401306	 0.6617334485054016	 0.8810
187	0	ft-seed1	13	 valid	 0.46715328097343445	 0.4917261302471161	 0.9135
73	0	ft-seed1	14	 test	 0.582456111907959	 0.5261735916137695	 0.8810
193	0	ft-seed1	14	 valid	 0.4687500298023224	 0.5817894339561462	 0.8791
79	0	ft-seed1	15	 test	 0.5431034564971924	 0.5236736536026001	 0.8940
199	0	ft-seed1	15	 valid	 0.4615384638309479	 0.4515714943408966	 0.9088
85	0	ft-seed1	16	 test	 0.6300365924835205	 0.46109575033187866	 0.8990
205	0	ft-seed1	16	 valid	 0.43478259444236755	 0.49476781487464905	 0.8768
91	0	ft-seed1	17	 test	 0.49122804403305054	 0.5814564228057861	 0.8840
211	0	ft-seed1	17	 valid	 0.4142857491970062	 0.4819534420967102	 0.9028
97	0	ft-seed1	18	 test	 0.48510637879371643	 0.4999200999736786	 0.8790
217	0	ft-seed1	18	 valid	 0.4400000274181366	 0.39687463641166687	 0.9005
103	0	ft-seed1	19	 test	 0.5736434459686279	 0.5443088412284851	 0.8900
223	0	ft-seed1	19	 valid	 0.44171783328056335	 0.5909873843193054	 0.8922
109	0	ft-seed1	20	 test	 0.4864864647388458	 0.5205869674682617	 0.8860
